Name	Locus_tag	StartV3	EndV3	StartV2	EndV2	Strand	Keeptot	Keeptrim	Id260210	OrigId	classif	S1_1_hyb28384002	S1_2_hyb28358602	S1_3_hyb29569102	S2_1_hyb28345202_01	S2_2_hyb28438702_01	S2_3_hyb29584002	S3_1_hyb28353902	S3_2_hyb28407302_01	S3_3_hyb29593702	S4_1_hyb28353602_01	S4_2_hyb29633702	S4_3_hyb29593902	S5_1_hyb28387702	S5_2_hyb29581902	S5_3_hyb29636602	S6_1_hyb28357602	S6_2_hyb29634602	S6_3_hyb29637702	nit_1_hyb32848302	nit_2_hyb32848802	nit_3_hyb32848702	ferm_1_hyb32835902	ferm_2_hyb32848502	ferm_3_hyb32875102	T.4.40H_1_hyb32876002	T.3.40H_1_hyb32860502	T.2.40H_1_hyb32875702	T.1.40H_1_hyb32874902	T.1.10H_1_hyb32875902	T.0.40H_1_hyb32860902	T0.0H_1_hyb32860102	T0.30H_1_hyb32876202	T1.0H_1_hyb34436402	T1.30H_1_hyb34528602	T2.0H_1_hyb34508402	T2.30H_1_hyb34549502	T3.0H_1_hyb34489302	T3.30H_1_hyb34489502	T4.0H_1_hyb34533902	T5.0H_1_hyb34489402	HiTm_1_hyb25345002	HiTm_2_hyb25344702	HiTm_3_hyb25347002	LoTm_1_hyb25348402	LoTm_2_hyb25348102	LoTm_3_hyb25348002	HiOs_1_hyb25346802	HiOs_2_hyb25344902	HiOs_3_hyb25347502	Heat_1_hyb25340602	Heat_2_hyb25344602	Heat_3_hyb25341002	Cold_1_hyb25347802	Cold_2_hyb25344502	Cold_3_hyb25340802	Etha_1_hyb25348602	Etha_2_hyb25340502	Etha_3_hyb25340702	Salt_1_hyb25345102	Salt_2_hyb25344802	Salt_3_hyb25347202	M40t45_1_hyb25414802	M40t45_2_hyb28390602	M40t45_3_hyb28463502	M40t90_1_hyb27061602	M40t90_2_hyb28384202_01	M40t90_3_hyb28384802_01	dia5_1_hyb25337802	dia5_2_hyb25340002	dia5_3_hyb25348502	dia15_1_hyb25321902	dia15_2_hyb25339602	dia15_3_hyb25339402	Diami_1_hyb27744802	Diami_2_hyb32848002	Diami_3_hyb27744702	Paraq_1_hyb29583002	Paraq_2_hyb32848102	H2O2_1_hyb32848202	H2O2_2_hyb32844902	H2O2_3_hyb27746602
S1	new_1_148	1	148	1	148	1	TRUE	TRUE	Id260210_1	O_1	5'	1.4511	1.0637	1.7679	2.7557	1.902	1.9808	2.5924	1.7209	-1.3532	1.8662	0.9082	0.659	1.5776	0.9217	1.8104	1.378	-2.1227	1.7952	2.4505	3.3491	2.8863	1.2744	2.7972	3.0647	0.1355	-0.5344	-0.3457	-0.1307	0.1359	0.5852	0.2766	0.8987	0.0106	-0.3079	-1.0679	-0.5502	-1.4089	-1.4559	-0.999	-1.701	-2.7575	-2.8575	-2.8548	-1.9053	-2.4465	-2.7559	0.4434	-0.0579	0.1805	0.0946	-0.1887	-0.141	-0.102	0.4273	-0.0875	-0.2416	0.7044	-0.5497	-0.2844	-0.7019	-0.7044	-0.0273	-0.3429	-0.0003	-0.0494	-0.0232	-0.2861	0.3095	0.3995	0.2591	0.6702	0.5522	0.022	-0.1961	-0.5887	0.0385	0.6421	0.2821	0.4904	0.1671	0.1114
S2	new_24_297_c	24	297	24	297	-1	TRUE	TRUE	Id260210_2	O_2	indep-Ext	0.5849	0.4825	0.0993	0.3196	-0.2535	-0.4885	3.5255	2.9569	1.0186	2.805	2.6824	1.789	1.9211	2.9362	2.5466	1.1615	0.1088	1.3202	-0.2629	0.4757	-0.1627	-0.5564	0.3569	0.2019	0.2626	-0.0424	-0.4267	-0.2307	-0.44	0.1685	-0.3156	0.2713	-0.4954	-0.4145	-0.5015	-0.0121	0.5784	0.9991	1.1128	0.8888	-0.1974	0.1695	0.6137	2.5894	2.6687	2.6355	0.4808	0.5852	1.0038	1.2933	0.3675	0.4919	1.9521	1.9029	1.1279	2.0691	2.0233	1.7732	0.3045	0.2145	0.0438	-0.9596	-0.1786	-0.0152	-0.0994	-0.1975	0.2876	0.438	0.4263	0.5716	0.6762	0.5407	0.1745	0.554	0.3841	0.5864	0.222	0.2304	0.4414	0.1984	0.1627
S3	new_150_409	150	409	150	409	1	TRUE	TRUE	Id260210_3	O_3	5'	2.2276	1.5894	1.9575	1.2581	0.2233	-0.3084	0.9559	0.1256	-1.7297	0.7783	-0.8452	-1.1551	-0.5028	-1.262	-0.3036	-1.3972	-5.6617	-1.2032	-0.9924	1.3403	0.1495	-0.4242	0.7015	0.3613	-0.295	-0.2792	-0.5775	-0.473	-0.6449	-0.3604	-0.7073	-1.0298	-0.9683	-1.1894	-1.4354	-0.7488	-1.5081	-1.3389	-1.3213	-2.2347	-2.5551	-0.0751	0.0152	-0.5011	-0.7924	-1.3471	0.0199	-0.5506	-0.2458	1.6712	1.1144	0.8624	-0.2462	-0.0117	-1.2297	-3.1027	-2.3297	-2.7328	-0.7719	-0.6863	-0.8172	-0.4109	-0.7201	0.1729	0.1182	-0.1748	0.4286	-1.0347	-1.0392	-0.6112	0.5924	0.5932	0.6354	-0.945	-0.5732	-1.3566	0.2248	0.4771	-1.1034	-0.8338	-1.8936
S4	new_299_1067_c	299	1067	299	1067	-1	TRUE	TRUE	Id260210_4	O_4	indep	1.0731	1.4223	-0.5115	1.218	1.2776	0.4018	5.6167	5.2898	2.9162	5.3954	5.0034	4.1232	4.8666	5.2351	4.7911	3.8814	1.5769	3.6374	1.0646	0.4427	0.8975	0.725	0.1509	1.4729	0.1591	-0.0565	-0.322	-0.1799	-0.2397	-0.366	-0.5197	0.4216	0.0063	0.1553	0.392	0.8308	1.3248	2.1439	2.313	2.4157	0.1437	0.2604	0.3342	4.4213	4.1851	4.558	0.5822	2.0466	0.9447	0.823	0.0006	0.0111	0.3972	0.6691	-0.0475	0.5397	0.5078	-0.4371	0.2146	-0.171	0.1257	-0.0017	-0.6839	-0.2203	-0.2017	-0.2959	-0.0285	0.3183	0.5672	0.7396	0.132	0.1886	0.6081	0.2033	-0.2437	0.1989	0.4456	-0.1874	-0.2362	0.0389	-0.0585
dnaA	BSU00010	410	1750	410	1750	1	TRUE	TRUE	-	-	-	1.7502	1.3396	1.4177	0.4533	0.0118	-0.0432	-0.0926	-0.2506	-1.8551	-0.2642	-1.3008	-1.3728	-1.2934	-1.3772	-1.2019	-2.166	-5.0998	-1.9663	-1.0138	0.685	-0.1714	-0.7561	0.0064	0.0267	-0.1529	-0.2491	-0.4584	-0.5664	-0.4757	-0.3459	-0.6037	-1.0115	-1.342	-1.5618	-1.5972	-0.8557	-1.6552	-1.5195	-1.567	-2.5066	-0.5498	0.2742	0.258	-0.848	-1.2838	-1.2335	0.0044	-0.2553	-0.0008	1.0651	0.6727	0.7515	-0.5862	-0.8776	-1.1984	-3.9629	-3.6929	-3.5787	-0.9811	-1.0764	-0.9452	-0.2808	-0.747	0.2653	-0.1361	-0.4755	0.2095	-1.5077	-1.3179	-1.2664	0.2999	0.3569	-0.5326	-1.0554	-0.2952	-0.9884	0.449	0.8296	-0.4701	-0.2683	-1.3147
S5	new_1751_1938	1751	1938	1751	1938	1	TRUE	TRUE	Id260210_6	O_6	intra	2.3595	1.1922	1.4261	0.8323	-0.1771	-0.1123	0.2657	-0.5645	-2.0588	-0.16	-1.5485	-2.0552	-1.2863	-1.5528	-1.2879	-1.8577	-4.6797	-2.1194	-1.1413	0.4186	-0.3766	-0.7931	-0.1079	-0.1648	-0.0089	-0.1021	-0.2798	-0.3902	-0.3599	-0.132	-0.4166	-0.7727	-1.3248	-1.4124	-1.8203	-1.0579	-1.892	-1.5076	-1.4142	-2.4682	0.1483	0.3658	0.1937	-0.4982	-0.8602	-1.2071	0.1538	-0.3638	-0.3713	1.2493	0.9549	0.9177	-0.447	-0.9165	-1.4153	-4.7979	-4.4214	-4.4324	-1.1044	-0.9597	-0.8495	-0.0554	-0.823	0.1292	-0.0625	-0.2948	0.2676	-1.9334	-1.8486	-1.7734	0.1056	0.2096	-1.3793	-1.6132	-0.5725	-1.5418	-0.006	0.9725	-0.5136	-0.1184	-1.3298
dnaN	BSU00020	1939	3075	1939	3075	1	TRUE	TRUE	-	-	-	1.5504	0.901	0.925	-0.0934	-0.7618	-0.7707	-0.4006	-1.2264	-2.1571	-0.8285	-1.7908	-2.1093	-1.6	-1.79	-1.9014	-2.1951	-4.7858	-2.4174	-1.1282	0.1833	-0.7649	-1.0361	-0.0851	-0.4461	-0.0565	-0.0849	-0.3714	-0.6458	-0.4788	-0.2918	-0.469	-0.9787	-1.3758	-1.491	-1.7599	-1.1353	-1.7872	-1.5722	-1.6214	-2.3294	0.5811	0.3671	0.2903	-0.5918	-1.0735	-1.1238	-0.2049	-0.5731	-0.2955	1.0578	0.8295	1.0106	-0.7105	-1.1632	-1.6157	-4.7282	-4.5273	-4.3355	-1.3838	-1.3641	-1.2734	-0.0445	-1.1823	0.2036	0.1061	-0.3015	0.3922	-2.2093	-2.1328	-2.4679	-0.0633	0.2395	-2.1584	-1.7294	-0.9253	-1.4745	0.0447	0.7601	-0.559	-0.083	-0.9445
yaaA	BSU00030	3206	3421	3206	3421	1	TRUE	TRUE	-	-	-	1.5877	1.1011	1.3802	0.3388	-0.2443	-1.0131	0.3457	0.3163	-0.571	0.769	0.0624	-0.3476	0.5525	0.0604	0.6583	-0.4234	-3.8973	-0.4255	-1.1757	1.0394	-0.4482	-1.3068	0.7464	0.1611	-0.4028	-0.6385	-1.0397	-1.0075	-0.8702	-0.6135	-1.2421	-2.6017	-3.1867	-3.298	-3.2533	-2.1856	-2.4883	-2.1739	-1.8923	-2.6728	-1.9062	0.0591	0.1248	-0.4377	-0.5015	-0.4731	0.1928	0.0637	0.4774	0.4332	0.5209	-0.0275	1.1089	0.1319	-0.488	-3.0145	-3.297	-2.7307	0.7264	0.5782	1.2007	-0.1256	-1.5603	0.3314	0.0994	-0.1482	0.165	-1.2474	-0.4678	-0.9731	0.8929	1.1559	-0.5191	-0.3913	0.1341	-0.523	0.2473	0.7711	0.8945	1.2423	0.4787
recF	BSU00040	3437	4549	3437	4549	1	TRUE	TRUE	-	-	-	0.4925	0.4017	0.3071	-0.0448	-0.4584	-0.8259	0.0005	-0.11	-1.3953	-0.2544	-0.5086	-1.3309	-0.575	-0.283	-0.6326	-1.1238	-4.5918	-1.0461	-0.4945	0.6999	-0.5825	-0.682	0.4471	-0.0891	-0.0939	-0.2905	-0.6131	-0.6009	-0.4872	-0.1258	-0.3483	-0.2692	-1.0911	-1.433	-1.782	-0.9292	-1.3033	-0.8193	-0.8395	-1.4548	-0.8751	0.2465	0.104	0.6905	0.4593	0.3202	0.4814	0.418	0.3843	0.5288	0.3585	0.1236	1.6024	1.3501	0.5693	-2.0522	-2.0339	-1.7586	0.3489	0.1219	0.2196	-0.0821	-0.2361	0.2486	0.3486	0.2566	0.6111	-0.6266	-0.3752	-0.7176	0.5593	0.5663	-0.4443	-0.5707	0.002	-0.7632	0.3306	0.8624	0.6582	1.0039	0.0858
yaaB	BSU00050	4567	4812	4567	4811	1	TRUE	TRUE	-	-	-	0.3507	0.4748	0.5566	-0.3586	-0.5348	-0.9206	0.4864	0.2773	-1.1362	0.1465	-0.2247	-0.7639	-0.3881	-0.2259	-0.1082	-0.6167	-3.9531	-0.466	-0.4957	0.6351	-0.5505	-0.4923	0.4155	-0.2598	-0.1852	-0.4272	-0.7143	-0.5582	-0.503	-0.346	-0.5183	-0.6685	-1.2577	-1.7271	-1.9249	-1.2008	-1.4275	-0.8723	-0.9531	-1.6433	-0.6764	0.2481	0.0932	0.7454	0.505	0.5787	0.5012	0.3386	0.4383	0.6695	0.4122	0.4807	1.6283	1.3918	0.6004	-2.4757	-2.13	-2.0538	0.3124	0.181	0.6023	-0.1267	-0.3071	0.1959	0.3399	0.0867	0.5951	-0.6363	-0.6747	-0.6408	0.677	0.545	-0.3287	-0.7745	0.3293	-0.9256	0.1517	0.9185	0.634	1.1521	-0.0777
