Label	Gene	Product																	RheaRid	AnnotatedRid	CreationDate	AmigeneStatus	PubmedID	BioProcess	Matrix	Annotator	Atot	Ctot	Gtot	Ttot	GCtot	ATtot	A1	C1	G1	T1	GC1	AT1	A2	C2	G2	T2	GC2	AT2	A3	C3	G3	T3	GC3	AT3	CAI	MW	KD	Tiny	Small	Aliphatic	Aromatic	Non_Polar	Polar	Charged	Basic	Acidic	Pi	OI
BSU00010	dnaA	chromosomal replication initiator protein DnaA																			29/05/2007 13:15	no	12682299, 16120674, 1779750, 2167836, 2846289	16.9 : Replicate ;	1	adanchin	0.339299	0.2013	0.199851	0.259508	0.401193	0.598807	0.324385	0.194631	0.310962	0.170022	0.505593	0.494407	0.378076	0.221477	0.105145	0.295302	0.326622	0.673378	0.315436	0.187919	0.183445	0.313199	0.371365	0.628635	0.570175	50857.175	-0.408296	0.2287	0.43722	0.230942	0.109865	0.488789	0.511211	0.304933	0.159193	0.14574	6.06086	8.811659
BSU00020	dnaN	DNA polymerase III (beta subunit)																		DNA-DIRECTED-DNA-POLYMERASE-RXN ;	20/02/2012 14:45	no	11395445, 12682299, 2846289	16.9 : Replicate ;	1	ebelda	0.333333	0.197	0.202287	0.26737	0.399296	0.600704	0.335092	0.182058	0.327177	0.155673	0.509235	0.490765	0.3219	0.224274	0.121372	0.332454	0.345646	0.654354	0.343008	0.184697	0.158311	0.313984	0.343008	0.656992	0.60272	42101.675	-0.092328	0.251323	0.481481	0.285714	0.066138	0.5	0.5	0.267196	0.119048	0.148148	4.9105	8.595238
BSU00030	rapA	RNA binding protein involved in ribosome maturation																			27/08/2014 11:22	no	24637032, 24939895	16.13 : Shape ;	3	adanchin	0.287037	0.1528	0.282407	0.277778	0.435185	0.564815	0.263889	0.152778	0.402778	0.180556	0.555556	0.444444	0.333333	0.138889	0.166667	0.361111	0.305556	0.694444	0.263889	0.166667	0.277778	0.291667	0.444444	0.555556	0.571593	7925.69	-0.042254	0.225352	0.492958	0.267606	0.098592	0.56338	0.43662	0.253521	0.098592	0.15493	4.534737	9.464789
BSU00040	recF	DNA repair and genetic recombination factor																			20/04/2007 13:13	no	15186413, 16061691, 16385024	16.6 : Maintain ; 16.9 : Replicate ;	1	adanchin	0.309973	0.2156	0.239892	0.234501	0.455526	0.544474	0.274933	0.261456	0.315364	0.148248	0.576819	0.423181	0.385445	0.172507	0.137466	0.304582	0.309973	0.690027	0.269542	0.212938	0.266846	0.250674	0.479784	0.520216	0.516021	42284.635	-0.432162	0.224324	0.424324	0.259459	0.1	0.481081	0.518919	0.289189	0.159459	0.12973	6.953804	9.105405
BSU00050	remB	regulator of extracellular matrix formation																			04/11/2013 09:16	no	19363116	16.5 : Explore ;	2	adanchin	0.304878	0.1911	0.178862	0.325203	0.369919	0.630081	0.304878	0.146341	0.280488	0.268293	0.426829	0.573171	0.341463	0.219512	0.073171	0.365854	0.292683	0.707317	0.268293	0.207317	0.182927	0.341463	0.390244	0.609756	0.527485	9193.3	-0.004938	0.222222	0.493827	0.271605	0.135802	0.518519	0.481481	0.246914	0.148148	0.098765	9.003944	7.975309
BSU00060	gyrB	DNA gyrase (subunit B)																		5.99.1.3-RXN ;	20/04/2007 13:21	no	12682299, 12767818, 17320901	16.9 : Replicate ; 16.3 : Control ; 16.2 : Construct biomass (Anabolism) ;	3	adanchin	0.327595	0.2113	0.238915	0.222222	0.450183	0.549817	0.323944	0.186228	0.361502	0.128326	0.547731	0.452269	0.374022	0.197183	0.164319	0.264476	0.361502	0.638498	0.28482	0.250391	0.190923	0.273865	0.441315	0.558685	0.618238	71500.895	-0.52931	0.269592	0.482759	0.216301	0.095611	0.49373	0.50627	0.30094	0.148903	0.152038	5.500313	9.744514
BSU00070	gyrA	DNA gyrase (subunit A)																		5.99.1.3-RXN ;	20/04/2007 13:21	no	12682299, 12767818, 17320901	16.9 : Replicate ; 16.3 : Control ; 16.2 : Construct biomass (Anabolism) ;	3	adanchin	0.320762	0.2032	0.240876	0.235199	0.444039	0.555961	0.323601	0.192214	0.368613	0.115572	0.560827	0.439173	0.340633	0.198297	0.163017	0.298054	0.361314	0.638686	0.298054	0.218978	0.190998	0.291971	0.409976	0.590024	0.613261	92095.51	-0.359683	0.258222	0.45676	0.250914	0.069428	0.499391	0.500609	0.306943	0.148599	0.158343	5.373634	9.752741
BSU_rRNA_1	rrnO-16S	ribosomal RNA-16S																			06/12/2008 13:33			16.2 : Construct biomass (Anabolism) ;																																								
BSU_tRNA_5	trnO-Ile	transfer RNA-Ile																			06/12/2008 13:12			16.2 : Construct biomass (Anabolism) ;																																								
BSU_tRNA_6	trnO-Ala	transfer RNA-Ala																			06/12/2008 13:12			16.2 : Construct biomass (Anabolism) ;																																								
BSU_rRNA_2	rrnO-23S	ribosomal RNA-23S																			06/12/2008 13:33			16.2 : Construct biomass (Anabolism) ;																																								
BSU_rRNA_3	rrnO-5S	ribosomal RNA-5S																			06/12/2008 13:33			16.2 : Construct biomass (Anabolism) ;																																								
BSU00080	yaaC	conserved hypothetical protein																			25/02/2007 17:40	no			3	adanchin	0.35654	0.1698	0.17616	0.297468	0.345992	0.654008	0.303797	0.189873	0.227848	0.278481	0.417722	0.582278	0.417722	0.167722	0.101266	0.313291	0.268987	0.731013	0.348101	0.151899	0.199367	0.300633	0.351266	0.648734	0.565567	37976.42	-0.44	0.184127	0.342857	0.206349	0.2	0.504762	0.495238	0.292063	0.168254	0.12381	7.820259	9.028571
BSU00090	guaB	inosine-monophosphate dehydrogenase																		IMP-DEHYDROG-RXN ;	11/07/2007 10:37	no	12682299, 1722815, 17611193, 1979163, 3125411, 8917437	16.2 : Construct biomass (Anabolism) ;	3	adanchin	0.3197	0.199	0.235855	0.245399	0.434901	0.565099	0.314928	0.165644	0.394683	0.124744	0.560327	0.439673	0.314928	0.222904	0.165644	0.296524	0.388548	0.611452	0.329243	0.208589	0.147239	0.314928	0.355828	0.644172	0.673242	52988.595	-0.183197	0.305328	0.516393	0.243852	0.071721	0.532787	0.467213	0.278689	0.145492	0.133197	6.178566	9.258197
BSU00100	dacA	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)																		3.4.16.4-RXN ;	20/02/2012 14:55	no	8370539, 9864321		2	ebelda	0.342342	0.1749	0.23048	0.252252	0.405405	0.594595	0.358108	0.112613	0.373874	0.155405	0.486486	0.513514	0.367117	0.231982	0.130631	0.27027	0.362613	0.637387	0.301802	0.18018	0.186937	0.331081	0.367117	0.632883	0.655727	48616.4	-0.313544	0.31377	0.530474	0.20316	0.092551	0.512415	0.487585	0.275395	0.137698	0.137698	5.777275	8.936795
BSU00110	pdxS	glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, synthase subunit																		RXN-11322 ;	01/02/2012 10:02	no	14762015, 15771487, 16157873, 17144654	16.2 : Construct biomass (Anabolism) ;	3	ebelda	0.288136	0.1955	0.264407	0.251977	0.459887	0.540113	0.264407	0.183051	0.467797	0.084746	0.650847	0.349153	0.294915	0.244068	0.159322	0.301695	0.40339	0.59661	0.305085	0.159322	0.166102	0.369492	0.325424	0.674576	0.743021	31610.205	-0.047959	0.309524	0.52381	0.221088	0.054422	0.591837	0.408163	0.272109	0.129252	0.142857	5.261589	10.22449
BSU00120	pdxT	glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, glutamine amidotransferase subunit PdxT																	RHEA:31507	GLUTAMIN-RXN ; RXN-11322 ; RHEA:31507 ;	31/01/2016 19:11	no	14585832, 14762015, 15771487, 17144654, 18271580, 26735940	16.2 : Construct biomass (Anabolism) ;	3	adanchin	0.263959	0.1878	0.275804	0.27242	0.463621	0.536379	0.213198	0.228426	0.406091	0.152284	0.634518	0.365482	0.299492	0.187817	0.177665	0.335025	0.365482	0.634518	0.279188	0.147208	0.243655	0.329949	0.390863	0.609137	0.600173	21445.795	0.033673	0.27551	0.469388	0.260204	0.096939	0.586735	0.413265	0.260204	0.122449	0.137755	5.145592	9.683673
BSU_misc_RNA_1	tboS	T-box riboswitch specific of serine tRNA ligase																			30/01/2012 14:19		9098041, 12165569, 12547201, 1317842	16.3 : Control ;		adanchin																																						
BSU00130	serS	seryl-tRNA synthetase																		SERINE--TRNA-LIGASE-RXN ; RXN0-2161 ;	25/02/2007 20:20	no	10546897, 12682299, 14732487	16.2 : Construct biomass (Anabolism) ;	1	adanchin	0.309077	0.1862	0.258216	0.246479	0.444444	0.555556	0.269953	0.213615	0.375587	0.140845	0.589202	0.410798	0.373239	0.183099	0.161972	0.28169	0.34507	0.65493	0.284038	0.161972	0.237089	0.316901	0.399061	0.600939	0.649316	48839.74	-0.555765	0.221176	0.437647	0.211765	0.105882	0.501176	0.498824	0.345882	0.167059	0.178824	5.354195	9.901176
BSU_tRNA_7	trnSL-Ser1	transfer RNA-Ser(UGA)																			31/01/2016 19:12			16.2 : Construct biomass (Anabolism) ;		adanchin																																						
BSU00140	dck	deoxyadenosine/deoxycytidine kinase																		DEOXYADENOSINE-KINASE-RXN ; DEOXYCYTIDINE-KINASE-RXN ;	01/02/2012 11:03	no	11078735, 6251049	16.11 : Scavenge (Catabolism) ;	3	ebelda	0.340979	0.1682	0.207951	0.282875	0.376147	0.623853	0.307339	0.183486	0.302752	0.206422	0.486239	0.513761	0.399083	0.169725	0.142202	0.288991	0.311927	0.688073	0.316514	0.151376	0.178899	0.353211	0.330275	0.669725	0.641189	25442.9	-0.539631	0.221198	0.40553	0.202765	0.16129	0.483871	0.516129	0.317972	0.16129	0.156682	5.61129	9.529954
BSU00150	dgk	deoxyguanosine kinase																		DEOXYGUANOSINE-KINASE-RXN ;	01/02/2012 11:19	no	11078735	16.11 : Scavenge (Catabolism) ;	2	ebelda	0.328526	0.2035	0.201923	0.266026	0.405449	0.594551	0.322115	0.225962	0.278846	0.173077	0.504808	0.495192	0.399038	0.177885	0.100962	0.322115	0.278846	0.721154	0.264423	0.206731	0.225962	0.302885	0.432692	0.567308	0.516695	24144	-0.311111	0.188406	0.386473	0.241546	0.149758	0.521739	0.478261	0.309179	0.15942	0.149758	5.82769	8.690821
BSU00160	yaaH	spore peptidoglycan hydrolase																			23/12/2010 14:58	no	11011148, 11737650, 12177332, 10419957, 19933362	16.8 : Protect ; 16.13 : Shape ;	1	adanchin	0.299844	0.2375	0.221963	0.240654	0.459502	0.540498	0.296729	0.226636	0.310748	0.165888	0.537383	0.462617	0.329439	0.238318	0.165888	0.266355	0.404206	0.595794	0.273364	0.247664	0.189252	0.28972	0.436916	0.563084	0.505614	48602.96	-0.41897	0.264637	0.484778	0.210773	0.117096	0.522248	0.477752	0.224824	0.112412	0.112412	5.724617	9.903981
BSU00170	yaaI	putative enzyme (isochorismatase family)																			06/10/2014 08:36	no	2521622	16.11 : Scavenge (Catabolism) ;	1	adanchin	0.364469	0.1923	0.184982	0.258242	0.377289	0.622711	0.401099	0.142857	0.296703	0.159341	0.43956	0.56044	0.395604	0.203297	0.087912	0.313187	0.291209	0.708791	0.296703	0.230769	0.17033	0.302198	0.401099	0.598901	0.576663	20790.06	-0.160221	0.232044	0.41989	0.248619	0.116022	0.508287	0.491713	0.287293	0.127072	0.160221	4.859337	9.19337
BSU00180	tadA	tRNA specific adenosine deaminase																		RXN0-1081 ;	28/11/2006 09:59	no	16014871, 16700551		2	adanchin	0.302469	0.1646	0.290123	0.242798	0.454733	0.545267	0.265432	0.185185	0.425926	0.123457	0.611111	0.388889	0.32716	0.197531	0.185185	0.290123	0.382716	0.617284	0.314815	0.111111	0.259259	0.314815	0.37037	0.62963	0.553844	17750.87	-0.165839	0.298137	0.453416	0.223602	0.068323	0.559006	0.440994	0.310559	0.15528	0.15528	5.747154	10.080745
BSU_misc_RNA_2	scr	small cytoplasmic RNA (scRNA, 4.5S RNA), signal recognition particle-like (SRP) component																			18/03/2009 18:14					moszer																																						
BSU00190	dnaX	DNA polymerase III (gamma and tau subunits)																		DNA-DIRECTED-DNA-POLYMERASE-RXN ;	20/02/2012 17:54	no	10844689, 12466528, 12974630, 14757052, 9341154	16.9 : Replicate ;	2	ebelda	0.321513	0.198	0.237589	0.242908	0.435579	0.564421	0.29078	0.205674	0.361702	0.141844	0.567376	0.432624	0.367021	0.210993	0.129433	0.292553	0.340426	0.659574	0.306738	0.177305	0.221631	0.294326	0.398936	0.601064	0.541226	62728.48	-0.2746	0.255773	0.454707	0.238011	0.085258	0.522202	0.477798	0.300178	0.149201	0.150977	5.536736	9.055062
BSU00200	yaaK	DNA binding protein																			06/10/2014 08:42	no	16740939, 19594923, 20639362, 22333191	16.3 : Control ; 16.9 : Replicate ;	3	adanchin	0.391975	0.142	0.253086	0.212963	0.395062	0.604938	0.37963	0.138889	0.425926	0.055556	0.564815	0.435185	0.407407	0.148148	0.111111	0.333333	0.259259	0.740741	0.388889	0.138889	0.222222	0.25	0.361111	0.638889	0.784425	11780.21	-0.373832	0.233645	0.448598	0.196262	0.018692	0.53271	0.46729	0.28972	0.121495	0.168224	4.736931	10.17757
BSU00210	recR	DNA repair and recombination protein																		RXN0-2606 ;	20/03/2007 08:49	no	12065426	16.6 : Maintain ;	1	adanchin	0.306533	0.1926	0.239531	0.261307	0.432161	0.567839	0.276382	0.201005	0.356784	0.165829	0.557789	0.442211	0.336683	0.20603	0.145729	0.311558	0.351759	0.648241	0.306533	0.170854	0.21608	0.306533	0.386935	0.613065	0.571358	21973.655	-0.136869	0.247475	0.484848	0.257576	0.075758	0.570707	0.429293	0.287879	0.141414	0.146465	5.438896	9.434343
BSU00220	yaaL	conserved hypothetical protein																			25/02/2007 20:43	no			3	adanchin	0.391111	0.1289	0.248889	0.231111	0.377778	0.622222	0.333333	0.173333	0.266667	0.226667	0.44	0.56	0.466667	0.106667	0.16	0.266667	0.266667	0.733333	0.373333	0.106667	0.32	0.2	0.426667	0.573333	0.483031	9226.465	-1.060811	0.135135	0.22973	0.189189	0.135135	0.418919	0.581081	0.432432	0.27027	0.162162	9.88546	9.135135
BSU00230	bofA	inhibitor of the pro-sigma(K) processing machinery																			29/05/2007 13:18	no	15087499	16.3 : Control ;	2	adanchin	0.234848	0.1553	0.234848	0.375	0.390152	0.609848	0.340909	0.147727	0.329545	0.181818	0.477273	0.522727	0.113636	0.193182	0.170455	0.522727	0.363636	0.636364	0.25	0.125	0.204545	0.420455	0.329545	0.670455	0.558366	8963.77	1.708046	0.310345	0.482759	0.448276	0.08046	0.816092	0.183908	0.068966	0.057471	0.011494	9.630608	7.195402
BSU_rRNA_4	rrnA-16S	ribosomal RNA-16S																			06/12/2008 13:33			16.2 : Construct biomass (Anabolism) ;																																								
BSU_tRNA_8	trnA-Ile	transfer RNA-Ile																			06/12/2008 13:12			16.2 : Construct biomass (Anabolism) ;																																								
BSU_tRNA_9	trnA-Ala	transfer RNA-Ala																			06/12/2008 13:12			16.2 : Construct biomass (Anabolism) ;																																								
BSU_rRNA_5	rrnA-23S	ribosomal RNA-23S																			06/12/2008 13:33			16.2 : Construct biomass (Anabolism) ;																																								
BSU_rRNA_26	rrnA-5S	ribosomal RNA-5S																			06/12/2008 13:33			16.2 : Construct biomass (Anabolism) ;																																								
